"","CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","ADDR_PCT_CD","RPT_DT","KY_CD","OFNS_DESC","PD_CD","PD_DESC","CRM_ATPT_CPTD_CD","LAW_CAT_CD","BORO_NM","LOC_OF_OCCUR_DESC","PREM_TYP_DESC","JURIS_DESC","JURISDICTION_CODE","PARKS_NM","HADEVELOPT","HOUSING_PSA","X_COORD_CD","Y_COORD_CD","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","Latitude","Longitude","PATROL_BORO","STATION_NAME","VIC_AGE_GROUP","VIC_RACE","VIC_SEX"
"1",394506329,2019-12-31,17:30:00,NA,NA,32,2019-12-31,118,"DANGEROUS WEAPONS",793,"WEAPONS POSSESSION 3","COMPLETED","FELONY","MANHATTAN",NA,"STREET","N.Y. POLICE DEPT",0,NA,NA,NA,999937,238365,NA,NA,NA,NA,40.820926797,-73.943324219,"PATROL BORO MAN NORTH",NA,NA,NA,"E"
"2",968873685,2019-12-29,16:31:00,2019-12-29,16:54:00,47,2019-12-29,113,"FORGERY",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","COMPLETED","FELONY","BRONX",NA,"STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1022508,261990,NA,NA,NA,NA,40.8857014060001,-73.861640325,"PATROL BORO BRONX",NA,NA,NA,"E"
"3",509837549,2019-12-15,18:45:00,NA,NA,109,2019-12-29,578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1034178,209758,"25-44",NA,"M",NA,40.742281156,-73.81982408,"PATROL BORO QUEENS NORTH",NA,"25-44","WHITE HISPANIC","F"
"4",352454313,2019-12-28,01:00:00,NA,NA,47,2019-12-28,126,"MISCELLANEOUS PENAL LAW",117,"RECKLESS ENDANGERMENT 1","COMPLETED","FELONY","BRONX","REAR OF","STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1026412,258211,"18-24","BLACK","M",NA,40.8753114510001,-73.847545211,"PATROL BORO BRONX",NA,NA,NA,"E"
"5",248803469,2008-09-05,21:41:00,NA,NA,NA,2008-09-05,101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,NA,"COMPLETED","FELONY",NA,"OUTSIDE",NA,"N.Y. POLICE DEPT",NA,NA,NA,NA,1001215,193881,NA,NA,NA,NA,40.698827283,-73.938819047,NA,NA,"25-44","BLACK","M"
"6",293718737,2019-12-27,22:00:00,NA,NA,9,2019-12-27,107,"BURGLARY",223,"BURGLARY,RESIDENCE,NIGHT","ATTEMPTED","FELONY","MANHATTAN","FRONT OF","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,NA,NA,NA,989665,201866,NA,NA,NA,NA,40.7207588210001,-73.980466423,"PATROL BORO MAN SOUTH",NA,NA,NA,"M"
"7",552685226,2019-12-27,20:10:00,2019-12-27,20:15:00,79,2019-12-27,117,"DANGEROUS DRUGS",521,"CONTROLLED SUBSTANCE, SALE 5","COMPLETED","FELONY","BROOKLYN",NA,"STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1001545,192836,NA,NA,NA,NA,40.6959583620001,-73.937631622,"PATROL BORO BKLYN NORTH",NA,NA,NA,"E"
"8",134037758,2019-12-26,20:00:00,2019-12-27,07:15:00,101,2019-12-27,341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1054394,162186,NA,NA,NA,NA,40.6115700660001,-73.7473651719999,"PATROL BORO QUEENS SOUTH",NA,"25-44","WHITE HISPANIC","F"
"9",855385879,2019-12-26,19:57:00,NA,NA,44,2019-12-26,361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BRONX",NA,"STREET","N.Y. POLICE DEPT",0,NA,NA,NA,1007027,245405,"18-24","BLACK","F",NA,40.840234138,-73.9176841139999,"PATROL BORO BRONX",NA,"18-24","BLACK","F"
"10",241602326,2019-12-25,23:00:00,2019-12-26,14:25:00,20,2019-12-26,341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","MANHATTAN",NA,"STREET","N.Y. POLICE DEPT",0,NA,NA,NA,987147,220853,NA,NA,NA,NA,40.77287456,-73.989542123,"PATROL BORO MAN NORTH",NA,"45-64","BLACK","M"
